name,id,version,chainId,chainName,moduleName,contractAddress
OKX Web3,15151,115186,250,ftm,LimitOrderV1,0xA6dA84219B1d5F419Ef959F1f2A7ec7E32f45CA6
OKX Web3,15151,115186,66,okc,LimitOrderV1,0xF33a9616C207E91678337627460f8AF6838a57b8
OKX Web3,15151,115186,10,op,LimitOrderV1,0xA6dA84219B1d5F419Ef959F1f2A7ec7E32f45CA6
OKX Web3,15151,115186,137,polygon,LimitOrderV1,0xA6dA84219B1d5F419Ef959F1f2A7ec7E32f45CA6
OKX Web3,15151,115186,42161,arb,LimitOrderV2,0x2ae8947FB81f0AAd5955Baeff9Dcc7779A3e49F2
OKX Web3,15151,115186,42161,arb,Adapter,0x474aC899F4dDed75e6e214393e922Dd68e661c4A
OKX Web3,15151,115186,42161,arb,OrderCheck,0x8CD57f07E5CbD212C6b5432C253e1650242614Ad
OKX Web3,15151,115186,43114,avax,LimitOrderV2,0x2ae8947FB81f0AAd5955Baeff9Dcc7779A3e49F2
OKX Web3,15151,115186,43114,avax,Adapter,0x474aC899F4dDed75e6e214393e922Dd68e661c4A
OKX Web3,15151,115186,43114,avax,OrderCheck,0x8CD57f07E5CbD212C6b5432C253e1650242614Ad
OKX Web3,15151,115186,56,bsc,LimitOrderV2,0x2ae8947FB81f0AAd5955Baeff9Dcc7779A3e49F2
OKX Web3,15151,115186,56,bsc,Adapter,0x474aC899F4dDed75e6e214393e922Dd68e661c4A
OKX Web3,15151,115186,56,bsc,OrderCheck,0x8CD57f07E5CbD212C6b5432C253e1650242614Ad
OKX Web3,15151,115186,1,eth,LimitOrderV2,0x2ae8947FB81f0AAd5955Baeff9Dcc7779A3e49F2
OKX Web3,15151,115186,1,eth,Adapter,0x474aC899F4dDed75e6e214393e922Dd68e661c4A
OKX Web3,15151,115186,1,eth,OrderCheck,0x8CD57f07E5CbD212C6b5432C253e1650242614Ad
OKX Web3,15151,115186,250,ftm,LimitOrderV2,0x2ae8947FB81f0AAd5955Baeff9Dcc7779A3e49F2
